Item,Function,Preferred MPN,JLC/LCSC Part,Assembly,Lock status,Notes
U1,MCU/Wi-Fi/BLE,ESP32-S3-PICO-1-N8R8,C9900172181,SMT,PROVISIONAL,"8 MB Flash + 8 MB PSRAM; external 2.4 GHz antenna; firmware must enable PSRAM ECC for the official 85 C ambient condition; verify JLC stock and RF layout"
U2,Battery charger/power path,BQ25628ERYKR,C18221178,SMT,PROVISIONAL,"Deterministic 1-cell switch-mode charger and NVDC power path; default hardware input limit 500mA; release only after power-coupon and thermal test"
U3,3.3V buck-boost,TPS63070RNMR,C109322,SMT,PROVISIONAL,"Maintains 3.3V across 1-cell discharge; design for 1.5A peak and validate efficiency/thermal behavior"
U4,USB-C current detector,TUSB320LAIRWBR,C132554,SMT,PROVISIONAL,"Detect Default/1.5A/3A source current before firmware raises BQ25628E input limit"
L_PWR1,Charger inductor,252012CDMCDDS-1R0MC,C492725,SMT,PROVISIONAL,"1uH 4.2A-rated; verify EVM-equivalent ripple and temperature"
L_PWR2,Buck-boost inductor,252012CDMCDDS-1R0MC,C492725,SMT,PROVISIONAL,"1uH; verify TPS63070 efficiency EMI and saturation margin"
U10,GNSS receiver,LC76GABMD,C7437114,SMT,PROVISIONAL,"Default fitted part; module is about 10.1 x 9.7 x 2.4 mm; antenna is separate"
U10_ALT,GNSS receiver alternate,ATGM336H-7N76,C53325902,SMT,DNP,"Do not fit together with U10; use only if LC76G procurement or assembly changes"
U13,GNSS low-noise 3.0V LDO,TPS7A2030PDBVR,TBD,SMT,PROVISIONAL,"Feed from stable 3.3V buck-boost; exact JLC stock code must be verified before release"
U14,GNSS UART level translator,TXU0202DCUR,TBD,SMT,PROVISIONAL,"VCCA=3.3V VCCB=3.0V; fixed opposite directions suit UART TX/RX; verify JLC stock code"
U11,6-axis IMU,QMI8658C,C2842151,SMT,PROVISIONAL,"Place near mechanical center; keep orientation mark visible in assembly drawing"
U12,3-axis magnetometer,LIS2MDLTR,C919695,SMT,PROVISIONAL,"Place at 12-o'clock PCB edge; keep away from inductors USB battery current and ferromagnetic hardware"
U12_ALT,Magnetometer alternate,IIS2MDC,TBD,SMT,DNP,"Firmware/pin-compatible alternate subject to footprint and sourcing review"
J1,Main-board display FFC receptacle,OK-F302-31115 31P 0.3mm bottom-contact,C9900051647,SMT,BLOCKED,"Supplier-recommended candidate; verify JLC footprint, connector height, contact face and Pin 1 against delivered screen plus cable before release"
FFC1,Display interconnect,"31P 0.3mm FFC; contact-side orientation TBD",CUSTOM,MANUAL,BLOCKED,"Display appears to use a module-side 31P connector plus a separate FFC; order/continuity-test the actual cable and do not assume straight-through or reversed numbering from drawings alone"
DISP1,AMOLED/touch assembly,H0175Y003AMT003 V1,CUSTOM,MANUAL,PROVISIONAL,"1.75 inch 466x466 full-laminated AMOLED; CO5300 QSPI and CST820 single-touch; supplier V1 drawing received; sample mechanical and cable continuity signoff still required; not part of normal PCBA"
J2,USB-C receptacle,USB 2.0 16-pin mid-mount,TBD,SMT,BLOCKED,"Choose after shell wall and port depth are frozen; needs ESD and CC resistors"
J3,2.4 GHz antenna connector,U.FL/IPEX MHF-I,TBD,SMT,PROVISIONAL,"FPC antenna mounts to plastic rear cover; reserve pi matching network"
J4,GNSS antenna connector,U.FL/IPEX MHF-I,TBD,SMT,PROVISIONAL,"Rev A measurement baseline; reserve 50-ohm line pi match ESD and optional active-antenna bias"
ANT1,2.4 GHz antenna,2.4 GHz adhesive FPC,CUSTOM,MANUAL,BLOCKED,"Select with enclosure and cable length; validate RSSI/throughput in final shell"
ANT2,GNSS antenna,L1/B1 active antenna,CUSTOM,MANUAL,BLOCKED,"External/top-radome baseline first; hidden antenna only after C/N0 and TTFF comparison"
BAT1,Battery,"702530 1S LiPo with protection and NTC",CUSTOM,MANUAL,BLOCKED,"Physical sample cable exit protection PCB and NTC curve must be frozen before PCB cutout and shell"
SW1,Power button,Side-actuated tactile switch,TBD,SMT,BLOCKED,"Choose with silicone membrane and shell travel"
SW2,Function button,Side-actuated tactile switch,TBD,SMT,DNP,"Optional; can be omitted after touch UX testing"
BZ1,Non-magnetic alert,Low-magnetic piezo element,TBD,MANUAL,DNP,"No magnetic speaker; fit only if road testing proves a sound cue is needed"
